phase,operation,iteration,status,success,duration_ms
fase1,heartbeat,20,200,True,7.126
fase1,detener_sesion,20,200,True,5.23
fase2,login,1,200,True,11.077
fase2,autorizar_reproduccion,1,201,True,8.741
fase2,manifest,1,200,True,149.182
fase2,heartbeat,1,200,True,9.839
fase2,detener_sesion,1,200,True,25.63
fase2,login,2,200,True,18.781
fase2,autorizar_reproduccion,2,201,True,8.899
fase2,manifest,2,200,True,37.252
fase2,heartbeat,2,200,True,8.94
fase2,detener_sesion,2,200,True,9.646
fase2,login,3,200,True,17.101
fase2,autorizar_reproduccion,3,201,True,8.225
fase2,manifest,3,200,True,47.675
fase2,heartbeat,3,200,True,8.946
fase2,detener_sesion,3,200,True,26.913
fase2,login,4,200,True,19.691
fase2,autorizar_reproduccion,4,201,True,11.502
fase2,manifest,4,200,True,35.459
fase2,heartbeat,4,200,True,29.107
fase2,detener_sesion,4,200,True,8.993
fase2,login,5,200,True,18.799
fase2,autorizar_reproduccion,5,201,True,31.232
fase2,manifest,5,200,True,37.687
fase2,heartbeat,5,200,True,8.578
fase2,detener_sesion,5,200,True,29.675
fase2,login,6,200,True,18.703
fase2,autorizar_reproduccion,6,201,True,9.443
fase2,manifest,6,200,True,54.999
fase2,heartbeat,6,200,True,12.984
fase2,detener_sesion,6,200,True,30.879
fase2,login,7,200,True,32.599
fase2,autorizar_reproduccion,7,201,True,31.025
fase2,manifest,7,200,True,80.448
fase2,heartbeat,7,200,True,28.635
fase2,detener_sesion,7,200,True,27.54
fase2,login,8,200,True,19.92
fase2,autorizar_reproduccion,8,201,True,29.402
fase2,manifest,8,200,True,116.914
fase2,heartbeat,8,200,True,21.521
fase2,detener_sesion,8,200,True,31.854
fase2,login,9,200,True,19.266
fase2,autorizar_reproduccion,9,201,True,8.755
fase2,manifest,9,200,True,94.947
fase2,heartbeat,9,200,True,8.934
fase2,detener_sesion,9,200,True,25.029
fase2,login,10,200,True,18.313
fase2,autorizar_reproduccion,10,201,True,31.523
fase2,manifest,10,200,True,86.557
fase2,heartbeat,10,200,True,8.494
fase2,detener_sesion,10,200,True,25.715
fase2,login,11,200,True,16.779
fase2,autorizar_reproduccion,11,201,True,9.251
fase2,manifest,11,200,True,82.67
fase2,heartbeat,11,200,True,32.888
fase2,detener_sesion,11,200,True,32.644
fase2,login,12,200,True,9.538
fase2,autorizar_reproduccion,12,201,True,24.802
fase2,manifest,12,200,True,123.864
fase2,heartbeat,12,200,True,32.145
fase2,detener_sesion,12,200,True,31.534
fase2,login,13,200,True,20.618
fase2,autorizar_reproduccion,13,201,True,31.616
fase2,manifest,13,200,True,45.331
fase2,heartbeat,13,200,True,29.915
fase2,detener_sesion,13,200,True,30.661
fase2,login,14,200,True,8.557
fase2,autorizar_reproduccion,14,201,True,10.487
fase2,manifest,14,200,True,110.941
fase2,heartbeat,14,200,True,29.43
fase2,detener_sesion,14,200,True,31.541
fase2,login,15,200,True,17.837
fase2,autorizar_reproduccion,15,201,True,31.338
fase2,manifest,15,200,True,104.786
fase2,heartbeat,15,200,True,9.884
fase2,detener_sesion,15,200,True,25.381
fase2,login,16,200,True,18.646
fase2,autorizar_reproduccion,16,201,True,8.027
fase2,manifest,16,200,True,41.349
fase2,heartbeat,16,200,True,27.239
fase2,detener_sesion,16,200,True,31.449
fase2,login,17,200,True,32.957
fase2,autorizar_reproduccion,17,201,True,30.315
fase2,manifest,17,200,True,114.516
fase2,heartbeat,17,200,True,24.899
fase2,detener_sesion,17,200,True,8.031
fase2,login,18,200,True,18.672
fase2,autorizar_reproduccion,18,201,True,11.084
fase2,manifest,18,200,True,47.43
fase2,heartbeat,18,200,True,17.669
fase2,detener_sesion,18,200,True,31.073
fase2,login,19,200,True,17.442
fase2,autorizar_reproduccion,19,201,True,8.645
fase2,manifest,19,200,True,104.54
fase2,heartbeat,19,200,True,10.777
fase2,detener_sesion,19,200,True,32.345
fase2,login,20,200,True,8.016
fase2,autorizar_reproduccion,20,201,True,18.06
fase2,manifest,20,200,True,99.476
fase2,heartbeat,20,200,True,25.131
fase2,detener_sesion,20,200,True,28.996
